Date,Name,Category,Type,Amount,DayOfWeek,IsWeekend,CategoryEncoded,TypeEncoded,Cluster
2024-02-28,Sinh tố sầu riêng bơ,Thực phẩm,Lãng phí (Wasted),40000,2.0,0,8,0,1
2024-02-29,Đổ xăng,Đi lại,Phải chi (Must have),60000,3.0,0,10,2,0
2024-02-29,Nước,Thực phẩm,Phải chi (Must have),65000,3.0,0,8,2,0
2024-02-29,Đường cát,Thực phẩm,Phải chi (Must have),38000,3.0,0,8,2,0
2024-03-01,Cà phê Hummingbird ,Cà phê,Phát sinh (Nice to have),150000,4.0,0,0,1,1
2024-03-01,Cà phê hạt,Cà phê,Phải chi (Must have),210000,4.0,0,0,2,0
2024-03-01,Gà rán lotte,Thực phẩm,Phát sinh (Nice to have),154000,4.0,0,8,1,1
2024-03-01,Đậu que,Thực phẩm,Phải chi (Must have),6000,4.0,0,8,2,0
2024-03-01,Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),4500000,4.0,0,4,2,0
2024-03-01,Netflix,Giải trí,Phải chi (Must have),53000,4.0,0,3,2,0
2024-03-01,Internet ,Hoá đơn - Thanh toán định kì,Phải chi (Must have),240000,4.0,0,4,2,0
2024-03-04,Bánh mì sáng,Thực phẩm,Phải chi (Must have),30000,0.0,0,8,2,0
2024-03-03,Khám bệnh Hoàn Mỹ,Sức khoẻ,Phát sinh (Nice to have),2555000,6.0,1,7,1,2
2024-03-03,Bún chả phố cổ buổi trưa,Thực phẩm,Phát sinh (Nice to have),189000,6.0,1,8,1,2
2024-03-03,Cà phê Passio,Sức khoẻ,Lãng phí (Wasted),25000,6.0,1,7,0,2
2024-03-04,Set tạ - Decalthon ,Sức khoẻ,Phát sinh (Nice to have),999000,0.0,0,7,1,1
2024-03-04,Netflix,Giải trí,Phải chi (Must have),53000,0.0,0,3,2,0
2024-03-04,Đi chợ,Thực phẩm,Phải chi (Must have),70000,0.0,0,8,2,0
2024-03-04,Lotte,Thực phẩm,Phải chi (Must have),213000,0.0,0,8,2,0
2024-03-05,Nước,Thực phẩm,Phải chi (Must have),65000,1.0,0,8,2,0
2024-03-06,Hớt tóc,Sức khoẻ,Phải chi (Must have),70000,2.0,0,7,2,0
2024-03-07,Đi chợ,Thực phẩm,Phải chi (Must have),109000,3.0,0,8,2,0
2024-03-08,Cà phê Hoof,Cà phê,Phát sinh (Nice to have),219000,4.0,0,0,1,1
2024-03-08,Bánh cuốn Tây Sơn,Thực phẩm,Phát sinh (Nice to have),186000,4.0,0,8,1,1
2024-03-09,Đổ xăng,Đi lại,Phải chi (Must have),50000,5.0,1,10,2,2
2024-03-08,Giữ xe Aperia,Đi lại,Phát sinh (Nice to have),5000,4.0,0,10,1,1
2024-03-08,3G,Đi lại,Phát sinh (Nice to have),6000,4.0,0,10,1,1
2024-03-09,Đi chợ,Thực phẩm,Phải chi (Must have),65000,5.0,1,8,2,2
2024-03-09,Coffee with aD,Cà phê,Phát sinh (Nice to have),160000,5.0,1,0,1,2
2024-03-10,Đi chợ,Thực phẩm,Phải chi (Must have),210000,6.0,1,8,2,2
2024-03-10,Chuối và mì tôm chay,Thực phẩm,Phát sinh (Nice to have),18000,6.0,1,8,1,2
2024-03-11,Passio coffee,Cà phê,Lãng phí (Wasted),50000,0.0,0,0,0,1
2024-03-11,Đậu phộng,Thực phẩm,Lãng phí (Wasted),20000,0.0,0,8,0,1
2024-03-11,Gửi xe bảo hiểm ,Đi lại,Phát sinh (Nice to have),4000,0.0,0,10,1,1
2024-03-11,Nước suối,Thực phẩm,Phát sinh (Nice to have),7000,0.0,0,8,1,1
2024-03-11,Bánh mì sáng,Thực phẩm,Phải chi (Must have),15000,0.0,0,8,2,0
2024-03-14,Công chứng giấy tờ,Other,Phát sinh (Nice to have),17000,3.0,0,6,1,1
2024-03-11,Photo công chứng,Other,Phát sinh (Nice to have),13000,0.0,0,6,1,1
2024-03-11,Lotte,Thực phẩm,Phải chi (Must have),226000,0.0,0,8,2,0
2024-03-11,Nước,Thực phẩm,Phải chi (Must have),65000,0.0,0,8,2,0
2024-03-02,Aeon mall ,Mua sắm,Phát sinh (Nice to have),448000,5.0,1,5,1,2
2024-03-12,Lotte,Mua sắm,Phải chi (Must have),232000,1.0,0,5,2,0
2024-03-13,Cà phê là việt,Cà phê,Lãng phí (Wasted),105000,2.0,0,0,0,1
2024-03-13,Cơm gà,Thực phẩm,Phải chi (Must have),127000,2.0,0,8,2,0
2024-03-14,Tín dụng thẻ,Hoá đơn - Thanh toán định kì,Phải chi (Must have),4708000,3.0,0,4,2,0
2024-03-14,Matcha bar,Cà phê,Phát sinh (Nice to have),200000,3.0,0,0,1,1
