Date,Name,Category,Type,Amount
"February 29, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"60,000"
"February 29, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"February 29, 2024",Đường cát,Thực phẩm,Phải chi (Must have),"38,000"
"March 1, 2024",Cà phê Hummingbird ,Cà phê,Phát sinh (Nice to have),"150,000"
"March 1, 2024",Cà phê hạt,Cà phê,Phải chi (Must have),"210,000"
"March 1, 2024",Gà rán lotte,Thực phẩm,Phát sinh (Nice to have),"154,000"
"March 1, 2024",Đậu que,Thực phẩm,Phải chi (Must have),"6,000"
"March 1, 2024",Tiền nhà,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"4,500,000"
"March 1, 2024",Netflix,Giải trí,Phải chi (Must have),"53,000"
"March 1, 2024",Internet ,Hoá đơn - Thanh toán định kì,Phải chi (Must have),"240,000"
"March 4, 2024",Bánh mì sáng,Thực phẩm,Phải chi (Must have),"30,000"
"March 3, 2024",Khám bệnh Hoàn Mỹ,Sức khoẻ,Phát sinh (Nice to have),"2,555,000"
"March 3, 2024",Bún chả phố cổ buổi trưa,Thực phẩm,Phát sinh (Nice to have),"189,000"
"March 3, 2024",Cà phê Passio,Sức khoẻ,Lãng phí (Wasted),"25,000"
"March 4, 2024",Set tạ - Decalthon ,Sức khoẻ,Phát sinh (Nice to have),"999,000"
"March 4, 2024",Netflix,Giải trí,Phải chi (Must have),"53,000"
"March 4, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"70,000"
"March 4, 2024",Lotte,Thực phẩm,Phải chi (Must have),"213,000"
"March 5, 2024",Nước,Thực phẩm,Phải chi (Must have),"65,000"
"March 6, 2024",Hớt tóc,Sức khoẻ,Phải chi (Must have),"70,000"
"March 7, 2024",Đi chợ,Thực phẩm,Phải chi (Must have),"109,000"
"March 8, 2024",Cà phê Hoof,Cà phê,Phát sinh (Nice to have),"219,000"
"March 8, 2024",Bánh cuốn Tây Sơn,Thực phẩm,Phát sinh (Nice to have),"186,000"
"March 9, 2024",Đổ xăng,Đi lại,Phải chi (Must have),"50,000"
"March 8, 2024",Giữ xe Aperia,Đi lại,Phát sinh (Nice to have),"5,000"
